,Unnamed: 0,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
20,18280,Abdel Nader,Northern Illinois,MAC,30,61.2,78.5,31.2,38.1,41.91,4.0,17.4,12.6,23.8,60,88,0.682,74,214,0.346,34,114,0.298,4.1,1.7,26.8,Fr,7-Jun,23.0,0.246732,87.2548,4.4,2012,34544,all,51.6,0.34883316,32.0,67.0,42.0,147.0,0.4776,0.2857,9.0,9.0,1.0,58.0,105.971,106.773,1.66197,132.658,-5.40257,-4.89876,-0.503803,-5.01285,24.4667,-3.45139,-1.56146,0.8667,3.3,4.1667,1.0,0.6667,0.7333,10.3333,Stretch 4,9.83555
21,19013,Ryan Kelly,Duke,ACC,23,46.1,121.1,20.8,53.5,58.64,6.9,14.3,11.0,9.7,69,85,0.812,61,129,0.473,35,83,0.422,5.4,1.4,40.1,Sr,11-Jun,34.0,4.53064,129.13,3.3,2013,14133,all,97.0,1.65219998,22.0,40.0,39.0,88.0,0.55,0.4432,2.0,2.0,1.0,48.0,94.8199,88.6349,3.7335,129.644,10.0914,6.13751,3.95393,9.95268,28.8696,6.64774,3.30494,1.6087,3.6957,5.3043,1.6522,0.6957,1.6087,12.8696,Stretch 4,7.30788
22,19117,Doug McDermott,Creighton,MVC,36,79.0,121.3,31.7,62.3,67.19,7.1,20.9,12.4,15.9,189,216,0.875,207,361,0.573,77,157,0.49,0.2,0.4,41.7,Jr,7-Jun,3.0,6.68196,144.82,2.0,2013,14955,all,69.2,0.6128982,134.0,197.0,74.0,166.0,0.6802,0.4458,4.0,4.0,1.0,11.0,97.5417,94.353,3.46083,202.421,6.33238,6.75132,-0.418947,10.3331,31.6111,10.3787,-0.0455893,1.6111,6.0556,7.6667,1.5833,0.2222,0.0556,23.1667,Stretch 4,8.49014
23,20275,Frank Kaminsky,Wisconsin,B10,32,23.2,122.4,21.3,51.0,56.15,7.3,12.6,17.6,8.4,33,43,0.767,29,53,0.547,14,45,0.311,5.2,2.8,43.9,So,11-Jun,44.0,1.63484,130.445,4.9,2013,21292,all,51.8,2.88940265,22.0,32.0,7.0,21.0,0.6875,0.3333,4.0,4.0,1.0,9.0,86.7192,81.2694,1.56787,65.7477,11.2662,5.57218,5.69402,10.997,10.2812,4.72018,6.2768,0.6562,1.0938,1.75,0.8125,0.4375,0.5312,4.1562,Stretch 4,8.89446
24,20501,K.J. McDaniels,Clemson,ACC,28,62.2,102.4,22.9,49.6,52.5,7.8,14.0,6.5,16.0,54,79,0.684,77,156,0.494,32,96,0.333,8.3,2.7,31.3,So,5-Jun,32.0,2.28451,107.813,3.2,2013,22137,all,55.4,0.47728139,61.0,90.0,16.0,66.0,0.6778,0.2424,37.0,41.0,0.9024,32.0,92.4557,89.4221,3.48579,156.252,6.06723,1.02667,5.04056,6.80916,27.5357,3.3683,3.44086,1.7857,3.2143,5.0,0.75,1.1429,2.0714,10.8571,Stretch 4,7.98566
25,21384,Anthony Bennett,UNLV,MWC,34,67.8,112.8,25.7,57.5,60.36,9.9,21.3,8.2,15.3,117,168,0.696,156,271,0.576,36,94,0.383,4.3,1.5,46.0,Fr,8-Jun,15.0,3.86174,124.916,3.4,2013,25132,all,99.0,0.49209348,100.0,140.0,56.0,129.0,0.7143,0.4341,53.0,58.0,0.9138,1.0,89.4038,85.8106,3.77519,202.924,6.61092,3.58896,3.02196,8.18951,27.2353,5.93445,2.25506,2.3824,5.5882,7.9706,0.9118,0.7059,1.1765,15.7941,Stretch 4,5.8596
26,21980,Jake Layman,Maryland,ACC,38,49.6,102.2,15.4,48.9,50.96,5.6,11.9,8.7,19.7,25,36,0.694,39,70,0.557,35,117,0.299,3.3,1.6,19.3,Fr,8-Jun,10.0,0.915839,97.1962,3.3,2013,26773,all,86.4,0.92312191,31.0,44.0,8.0,26.0,0.7045,0.3077,13.0,13.0,1.0,47.0,95.5593,92.0703,2.33111,140.367,4.91716,1.77755,3.1396,3.69283,19.9211,1.18157,2.51126,0.9211,2.3158,3.2368,0.9474,0.5526,0.6316,5.4737,Stretch 4,9.10206
27,22010,Cleanthony Early,Wichita St.,MVC,39,62.8,113.7,26.8,51.4,56.5,10.5,14.6,5.5,14.3,129,163,0.791,137,256,0.535,47,148,0.318,4.4,1.8,40.3,Jr,8-Jun,11.0,3.79695,127.494,4.1,2013,26859,all,,0.37702191,95.0,133.0,42.0,122.0,0.7143,0.3443,21.0,26.0,0.8077,34.0,94.4953,90.0426,3.12372,180.237,5.6228,4.31091,1.31189,6.57989,25.1026,5.52861,1.05128,2.2821,3.1538,5.4359,0.5897,0.7436,0.8974,13.9487,Stretch 4,9.27541
28,22764,Abdel Nader,Northern Illinois,MAC,19,41.5,80.2,36.7,38.6,42.6,6.3,22.0,13.0,21.8,44,57,0.772,63,170,0.371,26,94,0.277,3.1,3.3,21.6,So,7-Jun,23.0,0.928968,94.5043,4.5,2013,34544,all,51.6,0.27867933,37.0,75.0,26.0,95.0,0.4933,0.2737,4.0,4.0,1.0,58.0,94.3871,95.1509,2.69501,102.957,-3.33467,-4.18276,0.848084,-1.82921,25.4211,-1.60017,-0.229039,1.4737,4.1579,5.6316,0.8947,1.3158,0.5263,13.0526,Stretch 4,12.3202
29,23169,Doug McDermott,Creighton,BE,35,84.4,124.4,32.8,60.3,64.43,6.4,17.8,11.5,9.8,178,206,0.864,234,413,0.567,96,214,0.449,0.5,0.4,32.9,Sr,8-Jun,3.0,7.47014,151.483,2.3,2014,14955,all,69.2,0.88709499,159.0,229.0,75.0,183.0,0.6943,0.4098,9.0,9.0,1.0,11.0,104.837,100.924,3.36736,195.464,6.63964,8.15612,-1.51648,10.1698,33.7429,11.104,-0.93424,1.6286,5.3429,6.9714,1.5714,0.2286,0.1429,26.6857,Stretch 4,11.0615
