,pick,mp,oreb,dreb,treb,ast,stl,blk,pts
33833,,36.1111,0.6389,1.9444,2.5833,3.1944,0.75,0.1667,11.3611
33834,,32.5,1.1,3.1,4.2,1.8,0.9667,0.5667,11.7667
33836,,36.3226,0.6129,3.3871,4.0,6.129,0.9032,0.129,19.8387
33840,,30.3548,1.7742,4.2903,6.0645,1.129,0.871,0.2581,12.2258
33844,,30.2083,0.4583,3.5833,4.0417,1.9167,1.2917,0.25,8.9167
33848,,30.7419,2.0968,6.9677,9.0645,2.2258,0.3226,0.2258,17.8065
33852,,31.6333,3.1333,5.0333,8.1667,1.7333,0.8,1.1,12.4
33869,,30.5357,1.4286,4.0357,5.4643,2.25,1.1786,0.6429,13.5357
33871,,34.28,1.08,4.92,6.0,2.2,1.04,0.04,16.08
33880,,32.0645,1.5484,3.9355,5.4839,0.871,0.9032,0.5161,16.2903
33887,,32.3793,0.8276,4.3793,5.2069,2.4828,0.7931,0.5172,17.5517
33889,,35.1724,0.7586,4.4483,5.2069,1.3448,1.0,0.3103,11.3103
33893,,30.9667,1.9,7.2667,9.1667,1.9667,1.0333,0.5333,9.5667
33895,,30.5806,1.7742,6.4516,8.2258,1.9032,0.3548,0.3226,15.7419
33904,,30.9677,1.0,3.871,4.871,5.4194,1.2258,0.4194,11.6452
33912,,38.7273,0.6364,3.9394,4.5758,4.4545,0.6364,0.0606,23.5152
33923,,30.3871,0.2903,2.3548,2.6452,3.6129,1.7097,0.0968,11.0
33929,,35.7586,1.4483,4.4828,5.931,2.6897,0.7931,0.5862,15.1034
33930,36.0,34.1351,0.5135,3.5405,4.0541,3.1081,0.9459,0.2432,18.2432
33936,,35.3684,1.1579,3.2105,4.3684,4.8947,1.8421,0.3684,14.4737
33940,,31.6296,1.2593,2.6296,3.8889,1.9259,1.3704,0.037,10.9259
33943,54.0,36.7429,0.7429,3.5143,4.2571,9.2571,1.9714,0.2,24.3714
33948,30.0,31.375,1.85,4.9,6.75,1.925,1.15,0.25,15.45
33953,,32.0588,0.5,4.0294,4.5294,4.4412,1.4412,0.0882,16.8529
33958,,31.129,2.4516,5.6129,8.0645,1.5806,0.5484,0.4839,14.7742
33971,,33.3871,1.9677,3.6452,5.6129,2.0323,1.0323,0.2581,13.2258
33991,,33.7714,1.6,4.6,6.2,1.5143,0.3714,0.8,20.5143
34001,48.0,31.5152,1.4545,4.9091,6.3636,1.0909,0.7273,1.2424,11.7576
