pick,player_name,oreb,dreb,treb,ast,stl,blk,pts
,Paul Kirkpatrick,1.6875,2.875,4.5625,0.9062,0.3438,0.5938,5.9375
,Amadou Mbodji,2.4,2.8,5.2,0.52,0.4,1.6,5.64
,Mike Davis,2.25,6.9167,9.1667,0.9444,0.5,0.6389,10.6944
,Tony Easley,2.5294,3.1471,5.6765,0.8529,0.6176,2.6471,9.8824
,Garrett Kissel,0.8857,2.3429,3.2286,0.0857,0.0571,0.0571,1.9143
,Tim Diederichs,0.6667,1.0741,1.7407,0.4444,0.2593,0.037,2.4815
6.0,Ekpe Udoh,3.6,6.1143,9.7143,2.7429,0.8286,3.7429,13.9143
,Deon Thompson,2.8649,3.8108,6.6757,0.8378,1.0811,0.973,13.7027
,Jerome Meyinsse,1.4516,2.6452,4.0968,0.3548,0.3226,0.7419,6.5484
,Isiah Martin,0.931,1.3103,2.2414,0.2069,0.3103,0.8621,3.5172
,Adnan Hodzic,3.4483,5.6897,9.1379,0.7586,0.4828,0.4138,22.6552
,Pieter van Tongeren,0.8929,1.3214,2.2143,0.3571,0.0714,0.2143,2.9643
,Antonio Pena,2.2727,4.7576,7.0303,0.9697,1.0,0.4848,10.5455
,Lawrence Nwevo,1.25,1.5357,2.7857,0.25,0.2857,0.0714,4.1786
48.0,Keith Benson,3.1212,7.3939,10.5152,0.8182,0.4545,3.4848,17.303
,Chris Oakes,3.4074,5.4074,8.8148,0.963,0.7037,1.5556,10.2593
,Devin Searcy,1.2432,1.5676,2.8108,0.2973,0.3514,0.3514,3.8649
,Jeremy Simmons,2.7586,5.2069,7.9655,1.1724,0.5172,1.931,11.931
,Brett Royster,2.3929,4.9286,7.3214,0.3929,0.5714,2.8214,9.5714
,DeJuan Pursley,0.5652,1.6087,2.1739,0.1304,0.2174,0.4783,0.9565
,Andy Buechert,2.4194,3.6452,6.0645,0.3226,0.7419,0.9355,5.5161
,Matt Dorlack,0.48,0.44,0.92,0.08,0.12,0.24,0.4
,Brandon Parks,0.8485,1.5758,2.4242,0.303,0.2424,0.3333,2.5455
,Matt Formisano,0.56,1.04,1.6,0.36,0.12,0.0,2.4
,Cruz Daniels,2.7857,3.1429,5.9286,0.25,0.3571,2.5357,6.25
,Omar Samhan,3.5758,7.4545,11.0303,1.0,0.4545,2.9394,21.4545
,Jordan Eglseder,2.5312,4.6562,7.1875,0.5938,0.4375,0.9375,11.875
,Richie Gordon,1.9355,2.8065,4.7419,0.8065,1.0968,1.129,8.9677
,Brian Williams,2.7037,3.7037,6.4074,0.7037,0.3704,0.7037,5.5926
,A.J. Ogilvy,2.0312,4.1875,6.2188,0.9062,1.0312,1.4375,13.625
,Michael Nunnally,1.5143,2.8,4.3143,0.4571,0.2286,0.2286,7.5714
,Mark Veazey,1.0,1.7917,2.7917,0.4167,0.1667,0.7083,5.7083
