,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
4804,Lucas O'Rear,Northern Iowa,MVC,35,47.4,117.8,14.5,56.1,57.2,11.3,18.4,12.3,16.0,32,55,0.582,52,94,0.553,2,4,0.5,0.6,2.6,56.1,Jr,6-Jun,32,1.69687,110.32,4.6,2010,692,all,,1.60873539,41.0,57.0,11.0,37.0,0.7193,0.2973,6.0,6.0,1.0,,90.1629,86.7044,2.61614,126.076,7.74987,2.98799,4.76188,5.34603,18.9429,1.41631,3.92972,1.6571,2.7143,4.3714,1.0571,0.7429,0.0857,4.0571,Wing F,0.403318
4837,Michael Sands,Yale,Ivy,30,65.5,103.1,22.4,48.8,56.09,8.3,18.2,9.2,20.1,111,150,0.74,103,208,0.495,1,6,0.167,0.4,0.9,70.1,Jr,7-Jun,42,1.74182,103.67,3.5,2010,785,all,,0.51665002,68.0,127.0,35.0,81.0,0.5354,0.4321,8.0,9.0,0.8889,,104.414,107.611,1.71713,131.746,-3.34434,-1.21897,-2.12537,-2.30719,26.3,-0.208839,-2.09835,1.9,4.0667,5.9667,1.0333,0.4,0.1,10.6667,Wing F,0.450774
4841,Conor Turley,Penn,Ivy,17,28.1,95.0,16.6,46.8,56.76,6.3,15.2,11.5,29.3,32,42,0.762,13,32,0.406,6,15,0.4,0.7,0.8,89.4,Jr,7-Jun,44,0.321732,89.5501,4.9,2010,790,all,,0.67999456,10.0,20.0,3.0,12.0,0.5,0.25,0.0,0.0,,,112.314,110.811,1.00075,47.7302,-5.57288,-2.92626,-2.64663,-4.74479,18.6471,-3.0589,-1.6859,0.9412,2.1765,3.1176,1.0,0.2353,0.1176,4.4706,Wing F,2.9079
4848,Asown Sayles,Ohio,MAC,28,28.0,96.7,11.5,38.9,45.12,6.8,13.3,6.6,18.3,19,26,0.731,20,55,0.364,3,8,0.375,0.5,1.7,41.3,Jr,6-Jun,44,0.0425074,85.3596,4.7,2010,823,all,,1.0,14.0,27.0,6.0,28.0,0.5185,0.2143,0.0,0.0,,,99.3515,98.7408,1.38061,74.9396,-1.06063,-1.78799,0.727359,-2.12819,14.7143,-2.72202,0.593832,0.8929,1.8214,2.7143,0.5357,0.4286,0.0714,2.4286,Wing F,1.12629
4851,Dominic Calegari,UC Davis,BW,30,77.5,109.2,25.4,58.7,61.3,4.7,15.9,16.0,17.6,93,129,0.721,118,210,0.562,58,139,0.417,3.1,2.1,37.0,Sr,9-Jun,41,3.38976,116.013,3.7,2010,826,all,,0.79166663,78.0,103.0,40.0,107.0,0.7573,0.3738,17.0,21.0,0.8095,,102.21,104.843,2.33046,177.038,3.18477,3.11931,0.0654605,4.24632,31.1333,4.51189,-0.265579,1.2,3.9333,5.1333,1.9,1.1,0.8667,16.7667,Wing F,8.59768
4879,Dan Nelms,Davidson,SC,25,15.3,125.7,6.2,62.5,60.61,5.0,11.4,17.8,26.8,2,4,0.5,5,8,0.625,0,0,0.0,2.4,1.0,50.0,Sr,10-Jun,35,0.408678,101.189,4.7,2010,908,all,,3.60000009,4.0,5.0,0.0,2.0,0.8,0.0,0.0,0.0,,,105.851,104.2,0.546335,29.6627,-0.514961,-1.28938,0.774424,1.0332,7.2,-0.936523,1.96973,0.32,0.68,1.0,0.72,0.12,0.16,0.48,Wing F,0.0
4903,Nick DelTufo,Monmouth,NEC,27,27.1,90.4,15.8,40.8,45.04,5.6,10.4,5.8,15.6,21,34,0.618,28,64,0.438,2,12,0.167,1.1,0.5,44.7,Jr,8-Jun,44,-0.103037,82.1187,4.5,2010,1000,all,,0.64281584,19.0,30.0,9.0,34.0,0.6333,0.2647,2.0,2.0,1.0,,104.327,110.049,0.710589,48.4829,-7.73512,-4.77061,-2.96451,-6.27657,12.4444,-4.24847,-2.0281,0.6296,1.0741,1.7037,0.3333,0.1111,0.1111,3.0741,Wing F,2.11088
4905,Rashad Bishop,Cincinnati,BE,30,54.4,112.9,16.6,55.8,56.21,6.0,13.3,14.3,16.8,28,49,0.571,77,129,0.597,23,71,0.324,2.7,1.6,24.5,Jr,6-Jun,22,2.40166,111.814,2.9,2010,1012,all,61.2,1.52774993,43.0,61.0,34.0,68.0,0.7049,0.5,4.0,5.0,0.8,,99.3608,93.723,2.88298,137.593,6.46583,3.01098,3.45485,5.75687,25.7667,3.15994,2.59694,1.4,3.0333,4.4333,1.8333,0.6667,0.6333,8.3667,Wing F,5.50668
4909,Jerrell Williams,La Salle,A10,29,70.0,98.2,22.6,48.9,52.26,13.0,13.6,18.4,25.9,79,129,0.612,100,205,0.488,5,15,0.333,1.1,2.3,58.6,Jr,8-Jun,20,1.97548,104.159,4.0,2010,1016,all,,0.90699706,74.0,120.0,26.0,85.0,0.6167,0.3059,6.0,7.0,0.8571,,105.175,102.254,2.43747,153.59,1.78267,1.51509,0.267584,1.26919,28.9655,1.48197,-0.212788,3.3793,3.6897,7.069,2.6897,1.1379,0.3103,10.1379,Wing F,1.02119
4916,Taylor Montgomery,Northern Colorado,BSky,27,53.4,107.2,19.7,46.4,51.79,9.6,14.5,3.6,10.9,80,126,0.635,72,159,0.453,4,9,0.444,1.6,1.2,75.0,Jr,7-Jun,44,1.53709,102.49,4.1,2010,1049,all,,0.45831929,40.0,76.0,29.0,76.0,0.5263,0.3816,13.0,14.0,0.9286,,100.291,100.806,2.19633,115.577,-2.40218,-1.30055,-1.10163,-1.72224,24.6296,-0.724682,-0.997563,1.9259,2.8889,4.8148,0.4074,0.5185,0.3333,8.7407,Wing F,0.803243
4922,Matt Hill,Massachusetts,A10,23,12.5,83.3,7.5,18.4,29.75,8.5,9.5,0.0,14.6,6,6,1.0,2,11,0.182,1,8,0.125,0.6,1.5,31.6,So,7-Jun,50,-0.368841,68.6628,5.1,2010,1062,all,,0.0,2.0,7.0,0.0,4.0,0.2857,0.0,0.0,0.0,,,108.465,105.662,0.485274,25.1683,-5.16174,-3.16258,-1.99916,-5.28496,6.7826,-4.6522,-0.632753,0.5652,0.6087,1.1739,0.0,0.1739,0.0435,0.5652,Wing F,2.91564
