,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
4785,Andrew Jones III,Penn St.,B10,31,61.8,97.8,15.0,54.4,55.19,7.6,17.7,3.1,22.1,25,43,0.581,81,149,0.544,0,0,0.0,1.6,0.6,28.9,Jr,10-Jun,22,0.835804,94.241,4.4,2010,638,all,29.6,0.2749748,51.0,80.0,30.0,69.0,0.6375,0.4348,11.0,11.0,1.0,,103.922,99.4326,2.32399,125.387,-1.51858,-1.84592,0.327338,-2.08485,24.8387,-1.99785,-0.0870036,1.5161,3.5806,5.0968,0.3548,0.2258,0.3226,6.0323,C,0.0
4786,Patrick Sullivan,Southeastern Louisiana,Slnd,27,75.0,103.2,27.7,52.4,56.07,8.3,22.3,15.2,19.4,88,123,0.715,162,306,0.529,0,3,0.0,10.7,1.6,39.8,Sr,9-Jun,4,2.69744,110.401,4.1,2010,639,all,,0.69331843,63.0,80.0,99.0,226.0,0.7875,0.4381,15.0,17.0,0.8824,,92.1325,94.9249,3.28947,199.76,3.8907,-1.00129,4.89199,3.54864,30.2963,1.20476,2.34388,1.9259,6.3704,8.2963,1.9259,0.8148,3.3704,15.2593,C,0.214933
4790,Mike Bardo,Akron,MAC,28,12.2,91.5,12.3,47.6,47.02,12.8,14.1,3.2,25.9,6,14,0.429,10,21,0.476,0,0,0.0,6.3,0.4,66.7,Jr,10-Jun,54,-0.0809485,80.611,7.5,2010,657,all,,0.33322964,10.0,16.0,0.0,5.0,0.625,0.0,0.0,0.0,,,99.0881,99.3104,0.565355,29.6264,-0.869487,-2.97587,2.10639,-1.92346,6.0714,-3.67331,1.74985,0.6786,0.7143,1.3929,0.1071,0.0357,0.3571,0.9286,C,0.0
4794,Bryan Davis,Texas A&M,B12,33,63.5,100.1,24.0,48.2,51.31,14.1,22.5,13.1,19.9,100,177,0.565,105,218,0.482,0,0,0.0,7.5,2.9,81.2,Sr,9-Jun,0,2.25348,110.089,5.1,2010,666,all,86.8,0.75002427,88.0,147.0,17.0,71.0,0.5986,0.2394,32.0,36.0,0.8889,,87.3965,81.216,3.98906,213.412,10.2166,1.9179,8.29866,7.08808,25.5758,2.29871,4.78937,3.1515,5.0606,8.2121,1.5455,1.2424,1.7273,9.3939,C,0.0
4806,Clint Hopf,Evansville,MVC,25,43.1,104.4,16.8,51.8,57.19,7.9,19.8,3.7,17.9,42,55,0.764,58,112,0.518,0,0,0.0,1.9,1.6,49.1,Jr,8-Jun,52,1.09555,100.338,3.8,2010,698,all,,0.31999999,38.0,59.0,20.0,53.0,0.6441,0.3774,0.0,0.0,,,101.275,99.0691,1.89841,97.7006,-0.696548,-1.36518,0.668631,0.254173,20.24,0.401798,-0.147625,1.28,3.28,4.56,0.32,0.52,0.32,6.32,C,0.0
4810,Jabari Edwards,George Washington,A10,29,24.4,82.6,9.7,44.7,43.06,8.5,16.3,2.9,29.1,2,8,0.25,17,38,0.447,0,0,0.0,10.0,1.5,21.1,Jr,10-Jun,13,-0.495927,70.7986,5.2,2010,715,all,57.8,0.33333333,16.0,20.0,1.0,18.0,0.8,0.0556,9.0,10.0,0.9,,94.8462,93.5452,1.19257,66.0326,2.81128,-3.35062,6.16191,-0.145202,10.5172,-3.10747,2.96227,0.8276,1.5172,2.3448,0.1724,0.2759,0.8621,1.2414,C,0.0
4811,Joseph Katuka,George Washington,A10,30,36.2,101.0,20.8,52.7,54.85,11.8,16.8,2.8,20.8,38,62,0.613,69,131,0.527,0,0,0.0,4.3,1.4,47.3,Jr,11-Jun,42,0.986647,103.534,8.0,2010,716,all,60.4,0.17647579,36.0,54.0,33.0,77.0,0.6667,0.4286,4.0,5.0,0.8,,96.9027,95.2593,1.62006,90.6001,-0.793607,-1.36687,0.573263,-2.1642,15.0667,-2.38787,0.223666,1.6333,2.2333,3.8667,0.2,0.3667,0.5333,5.8667,C,0.0
4814,Dele Coker,St. John's,BE,28,18.7,99.2,11.3,62.9,57.07,8.8,12.7,2.3,23.7,3,13,0.231,22,35,0.629,0,0,0.0,10.1,2.2,37.1,Jr,10-Jun,15,0.169522,90.0496,5.9,2010,719,all,61.6,0.27258846,7.0,10.0,11.0,21.0,0.7,0.5238,2.0,3.0,0.6667,,94.4031,89.0038,1.1465,53.0481,6.29814,-0.889551,7.18769,2.77352,8.9286,-2.12567,4.89919,0.7143,0.9643,1.6786,0.1071,0.3214,0.8571,1.6786,C,0.0
4815,Sean Evans,St. John's,BE,33,51.8,95.8,21.0,46.0,47.26,14.1,18.0,6.3,18.8,36,69,0.522,92,199,0.462,0,1,0.0,1.4,1.7,34.5,Jr,8-Jun,5,1.17588,100.862,4.3,2010,720,all,20.8,0.46670576,65.0,101.0,23.0,86.0,0.6436,0.2674,10.0,10.0,1.0,,98.1683,91.9423,2.48456,127.589,1.19477,-0.127151,1.32192,-0.347169,21.0303,-0.435748,0.088579,2.697,3.2121,5.9091,0.6364,0.5758,0.2727,6.6667,C,0.08759
4826,Cole Aldrich,Kansas,B12,36,66.4,116.9,20.2,56.2,59.61,13.6,25.4,5.8,16.4,108,159,0.679,149,265,0.562,0,0,0.0,13.0,1.6,60.0,Jr,11-Jun,45,3.51491,122.635,3.8,2010,763,all,94.8,0.55354846,92.0,126.0,57.0,139.0,0.7302,0.4101,32.0,33.0,0.9697,11.0,84.64,78.9024,4.40012,253.179,11.5599,3.09864,8.4613,9.80489,26.75,4.63956,5.16533,3.0556,6.7778,9.8333,0.8611,0.75,3.4722,11.2778,C,0.0
