,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
4724,D.J. Boney,Delaware,CAA,31,63.8,100.2,13.8,42.9,48.96,4.5,6.7,11.3,19.9,42,50,0.84,13,36,0.361,36,120,0.3,0.4,1.3,32.1,Jr,5-Jun,21,0.730201,92.7532,2.6,2010,443,all,19.0,1.22225096,8.0,20.0,5.0,16.0,0.4,0.3125,0.0,0.0,,,113.755,111.792,1.30247,106.144,-1.59506,0.286974,-1.88203,-2.27095,26.129,-0.649233,-1.62172,1.0645,1.4194,2.4839,1.4194,0.5484,0.0968,5.6774,Combo G,9.15584
4725,Josh Thornton,Towson,CAA,30,61.8,98.6,22.8,47.7,49.07,2.1,6.3,10.4,13.6,28,41,0.683,41,131,0.313,77,197,0.391,0.2,1.4,12.5,Sr,2-Jun,23,1.62034,102.778,1.8,2010,449,all,75.8,0.87802737,11.0,21.0,30.0,110.0,0.5238,0.2727,1.0,1.0,1.0,,115.289,116.069,0.925392,100.643,-2.91167,1.79349,-4.70517,-1.22672,25.7667,2.38223,-3.60895,0.5,1.5,2.0,1.2,0.6333,0.0667,11.3667,Combo G,14.9199
4727,Cory Higgins,Colorado,B12,29,83.9,112.3,26.8,54.1,60.8,2.6,11.7,16.1,14.9,159,190,0.837,155,281,0.552,29,86,0.337,1.1,3.5,51.8,Jr,5-Jun,11,5.14196,128.643,2.9,2010,461,all,50.4,1.0,96.0,141.0,59.0,140.0,0.6809,0.4214,16.0,17.0,0.9412,,105.432,100.425,3.03818,185.016,5.64907,5.00886,0.64021,6.65927,33.8621,5.74117,0.918098,0.6897,3.2759,3.9655,2.3448,2.0345,0.3448,19.1724,Combo G,5.03078
4730,Avery Merriex,Air Force,MWC,26,40.9,76.2,11.3,46.7,49.38,0.6,7.6,14.3,37.7,9,14,0.643,17,39,0.436,3,7,0.429,0.6,1.4,30.4,Sr,2-Jun,22,-1.04814,67.9362,4.3,2010,469,all,,1.03336796,10.0,17.0,7.0,22.0,0.5882,0.3182,0.0,0.0,,,109.85,107.012,1.23313,63.2859,-5.24183,-4.72163,-0.520198,-5.73767,18.2308,-5.60334,-0.134328,0.0769,1.0,1.0769,1.1923,0.3846,0.0769,2.0,Combo G,0.992818
4736,Tyrel Reed,Kansas,B12,36,38.4,137.6,12.0,66.9,68.24,1.1,8.4,11.7,12.8,15,18,0.833,19,34,0.559,44,93,0.473,0.4,3.1,14.2,Jr,3-Jun,14,2.29605,127.568,2.3,2010,479,all,83.4,2.59971198,12.0,16.0,7.0,18.0,0.75,0.3889,1.0,1.0,1.0,,96.6163,90.0669,1.93694,94.8862,8.97768,6.64987,2.32781,9.92407,15.4722,5.89906,4.02501,0.1389,1.3056,1.4444,1.0833,0.8333,0.0556,5.1389,Combo G,9.31756
4740,Drew Speraw,UCF,CUSA,21,6.9,121.0,13.2,55.6,52.77,4.2,9.7,26.0,10.6,0,2,0.0,4,5,0.8,4,13,0.308,0.0,1.4,11.1,Sr,2-Jun,10,0.381499,111.516,2.3,2010,497,all,,5.50210088,3.0,3.0,1.0,2.0,1.0,0.5,0.0,0.0,,,107.854,106.232,0.286324,12.1774,0.393222,2.96984,-2.57662,2.68177,4.1429,3.00382,-0.322048,0.1429,0.3333,0.4762,0.5238,0.0952,0.0,0.9524,Combo G,9.1327
4768,Geoff Reeves,Cornell,Ivy,32,44.4,128.3,12.2,66.7,68.15,3.8,5.0,8.3,16.7,13,15,0.867,17,30,0.567,38,81,0.469,1.0,2.4,13.5,Sr,5-Jun,15,1.8548,114.589,2.8,2010,586,all,,1.42101717,6.0,10.0,10.0,19.0,0.6,0.5263,0.0,0.0,,,102.718,103.959,1.39003,84.6306,4.82404,5.15178,-0.327735,4.29121,17.9062,3.74003,0.55118,0.5312,0.7188,1.25,0.8438,0.6875,0.1562,5.0312,Combo G,8.70653
4771,Tyrone Lewis,Niagara,MAAC,27,68.9,112.3,22.8,50.3,53.96,4.4,10.0,11.1,10.4,86,114,0.754,57,136,0.419,87,237,0.367,2.0,3.2,30.6,Sr,Jun-00,2,3.82249,117.325,3.1,2010,589,all,16.4,1.21053001,38.0,70.0,19.0,66.0,0.5429,0.2879,7.0,7.0,1.0,,98.2176,99.1914,3.18107,175.752,4.96914,4.74018,0.228953,6.33743,34.1852,5.44593,0.891494,1.4444,3.2222,4.6667,1.7037,1.8889,0.7037,17.0741,Combo G,14.7563
4775,Trevor Welcher,Delaware St.,MEAC,23,30.2,77.6,13.6,31.0,36.85,2.4,7.2,7.5,20.5,12,15,0.8,15,46,0.326,2,12,0.167,0.4,2.6,25.9,Jr,11-May,1,-0.771819,68.1911,2.5,2010,615,all,,0.84624917,12.0,29.0,3.0,17.0,0.4138,0.1765,0.0,0.0,,,102.75,108.0,0.875483,44.9913,-7.40799,-5.77923,-1.62876,-7.00154,13.7826,-5.80946,-1.19208,0.2609,0.6522,0.913,0.4783,0.5217,0.0435,2.087,Combo G,2.58107
4777,A.J. Smith,Stetson,ASun,26,77.8,88.7,28.2,46.2,51.35,2.1,7.4,14.8,23.3,94,126,0.746,74,177,0.418,48,139,0.345,0.3,1.5,39.9,Sr,Jun-00,2,1.3471,96.5209,1.8,2010,624,all,,0.50538177,55.0,108.0,19.0,69.0,0.5093,0.2754,2.0,2.0,1.0,,112.836,115.33,1.25278,113.388,-5.99283,-1.81576,-4.17708,-3.76242,32.3077,0.134026,-3.89644,0.6154,1.8462,2.4615,1.8077,0.8077,0.0769,14.8462,Combo G,9.83145
