,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
4894,Ronnie Thomas,Wright St.,Horz,32,49.3,104.0,15.3,54.1,53.69,5.7,11.7,8.0,17.0,10,22,0.455,52,94,0.553,18,52,0.346,1.4,1.1,15.1,Sr,8-Jun,40,0.88101,97.3696,5.3,2010,966,all,,0.92307692,17.0,27.0,35.0,67.0,0.6296,0.5224,1.0,1.0,1.0,,99.0324,97.5127,1.98543,99.7546,1.33357,0.224009,1.10957,-0.0535982,19.8125,-1.10794,1.05434,0.9062,1.6562,2.5625,0.75,0.3438,0.2188,5.25,Stretch 4,5.21525
4906,Darnell Wilks,Cincinnati,BE,34,23.9,105.8,18.3,56.1,55.68,10.5,11.4,9.2,21.2,6,13,0.462,37,66,0.561,12,32,0.375,3.6,1.2,13.3,Jr,7-Jun,15,0.789337,107.571,6.7,2010,1013,all,85.6,0.68181117,28.0,41.0,10.0,25.0,0.6829,0.4,19.0,21.0,0.9048,,99.9147,94.2067,1.10525,58.9215,3.85549,1.44294,2.41254,2.01559,9.9706,0.0792663,1.93632,0.9412,1.0,1.9412,0.4412,0.2059,0.3235,3.4118,Stretch 4,5.64915
4931,Dorian McDaniel,Prairie View A&M,SWAC,25,68.3,92.3,16.3,45.6,46.31,8.2,15.0,1.7,15.1,13,23,0.565,50,123,0.407,29,82,0.354,0.8,1.1,11.2,Sr,6-Jun,44,-0.0231452,84.2699,3.7,2010,1076,all,,0.16666666,23.0,44.0,27.0,79.0,0.5227,0.3418,2.0,3.0,0.6667,,95.3571,103.489,2.26261,122.741,-5.60336,-3.9008,-1.70255,-4.71948,28.68,-2.95718,-1.7623,2.28,3.96,6.24,0.2,0.52,0.2,8.0,Stretch 4,6.50051
4994,Ryan Dermody,Wyoming,MWC,29,58.0,93.7,11.7,41.2,42.34,2.4,13.5,5.7,7.8,12,21,0.571,6,22,0.273,38,131,0.29,2.1,1.6,13.7,Sr,9-Jun,5,-0.0470581,83.9205,3.2,2010,1265,all,63.2,1.72739259,6.0,8.0,0.0,14.0,0.75,0.0,2.0,2.0,1.0,,106.134,103.137,1.88203,118.858,0.111373,-0.0431267,0.154499,-0.63929,23.3103,-0.76902,0.12973,0.4828,2.7241,3.2069,0.6552,0.6552,0.4483,4.7586,Stretch 4,10.8347
5082,Avery Jukes,Butler,Horz,38,25.9,100.4,16.1,46.7,50.44,5.7,9.5,2.7,13.7,25,38,0.658,23,56,0.411,13,35,0.371,1.5,0.9,41.8,Sr,8-Jun,24,0.472755,97.6546,7.9,2010,1561,all,43.4,0.35722043,11.0,21.0,12.0,32.0,0.5238,0.375,0.0,1.0,0.0,,96.5065,91.9891,1.24089,60.4336,-0.210627,-0.975784,0.765157,-1.16122,10.3947,-2.85608,1.69486,0.4474,0.7895,1.2368,0.1316,0.1579,0.1316,2.8947,Stretch 4,5.52588
5125,Jaroslav Tyrna,New Orleans,SB,28,53.2,83.1,16.9,49.6,50.17,6.0,14.8,7.1,28.4,20,39,0.513,39,82,0.476,15,42,0.357,2.7,1.3,31.5,Jr,10-Jun,13,-0.519804,77.4594,5.2,2010,1660,all,,0.36167046,28.0,49.0,11.0,33.0,0.5714,0.3333,4.0,6.0,0.6667,,101.881,104.016,1.65921,103.268,-4.15431,-4.65731,0.503004,-4.20191,21.3571,-4.34059,0.138671,1.0714,2.4643,3.5357,0.6071,0.4643,0.5,5.1071,Stretch 4,4.29223
5154,Matt Heramb,Kennesaw St.,ASun,30,47.0,86.4,16.5,40.1,43.75,6.3,13.4,16.5,28.5,23,34,0.676,29,79,0.367,13,42,0.31,5.1,1.7,28.1,Jr,9-Jun,14,-0.256346,80.7042,3.7,2010,1752,all,48.2,1.06521875,15.0,35.0,23.0,59.0,0.4286,0.3898,2.0,3.0,0.6667,,103.258,106.135,1.37392,108.514,-2.71143,-3.67922,0.967782,-2.72552,19.6,-3.15553,0.430006,1.1333,2.3,3.4333,1.6333,0.5667,0.9667,4.0,Stretch 4,4.30581
5207,Matt Shaw,UNLV,MWC,29,33.4,118.4,19.7,59.7,61.54,6.0,15.5,5.1,10.2,29,40,0.725,49,90,0.544,27,60,0.45,3.2,1.2,26.7,Jr,8-Jun,34,1.948,121.488,5.2,2010,1910,all,69.0,0.73337201,26.0,37.0,23.0,53.0,0.7027,0.434,0.0,0.0,,,95.7639,92.2402,1.80481,81.0183,4.23241,3.24274,0.989667,5.56502,15.3103,4.31695,1.24807,0.7586,2.0345,2.7931,0.3793,0.3103,0.4138,7.1724,Stretch 4,8.02059
5308,James Valladares,New Hampshire,AE,23,20.9,88.9,11.0,46.2,46.59,6.1,8.1,2.8,23.0,3,6,0.5,6,18,0.333,8,21,0.381,2.7,1.0,15.4,Jr,9-Jun,11,-0.335381,75.2951,7.7,2010,2222,all,,0.29990801,3.0,7.0,3.0,11.0,0.4286,0.2727,1.0,1.0,1.0,,98.7095,102.445,0.876184,39.4577,-2.45601,-3.75146,1.29545,-4.0825,10.6087,-5.582,1.4995,0.6087,0.6957,1.3043,0.1304,0.1739,0.2609,1.6957,Stretch 4,5.29072
5332,Damian Hollis,George Washington,A10,31,57.2,104.0,30.0,47.7,53.34,7.1,16.8,12.0,18.2,99,118,0.839,110,243,0.453,37,104,0.356,4.4,2.0,34.0,Sr,8-Jun,22,2.71697,118.726,5.2,2010,2311,all,54.6,0.52942782,50.0,73.0,60.0,170.0,0.6849,0.3529,6.0,8.0,0.75,,95.9418,94.3506,2.55283,148.681,3.23765,1.69974,1.53791,4.83851,23.0645,3.96014,0.878379,1.5161,3.4194,4.9355,1.1613,0.8065,0.8387,13.871,Stretch 4,8.36491
