,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
4778,James Florence,Mercer,ASun,29,79.1,101.6,29.8,46.9,52.64,1.9,8.3,29.7,21.4,142,191,0.743,111,235,0.472,53,171,0.31,1.2,2.8,47.0,Sr,1-Jun,0,3.42442,113.685,3.5,2010,625,all,64.2,1.17117776,88.0,158.0,23.0,77.0,0.557,0.2987,4.0,4.0,1.0,,107.546,109.967,1.94072,177.291,0.226845,2.34067,-2.11382,0.527993,33.9655,2.12755,-1.59956,0.5517,2.6207,3.1724,4.4828,1.6552,0.4138,18.0345,Scoring PG,9.80104
4801,Mark Payne,UC Davis,BW,22,62.5,115.5,22.8,54.8,63.11,3.9,10.9,29.3,19.9,113,134,0.843,81,154,0.526,18,43,0.419,1.4,3.0,68.0,Jr,8-Jun,11,4.0389,118.704,1.2,2010,683,all,,1.64408242,54.0,87.0,27.0,67.0,0.6207,0.403,11.0,12.0,0.9167,,103.128,106.154,2.40336,137.19,3.77832,3.87691,-0.0985838,5.47388,34.2273,5.09044,0.383449,1.0909,2.9545,4.0455,4.4091,1.7727,0.4091,14.9545,Scoring PG,3.29805
4805,Shemik Thompson,Central Connecticut,NEC,29,80.0,94.1,26.1,42.6,48.3,3.5,10.3,24.7,20.8,90,112,0.804,107,260,0.412,24,76,0.316,0.3,3.7,33.3,Jr,Jun-00,11,1.39763,96.6771,2.6,2010,694,all,,1.13094658,50.0,101.0,52.0,147.0,0.495,0.3537,0.0,0.0,,,98.2848,105.919,2.36368,178.606,-1.51059,-0.925286,-0.585308,-1.45612,33.5172,-1.33147,-0.124648,1.0,2.7586,3.7586,3.2759,1.9655,0.1034,12.9655,Scoring PG,4.91428
4807,Kavon Lacey,Evansville,MVC,23,51.3,83.7,16.2,43.9,48.88,1.5,12.5,23.5,32.3,25,31,0.806,38,92,0.413,6,15,0.4,0.0,1.9,29.0,Jr,1-Jun,2,-0.403651,79.9954,5.4,2010,699,all,,1.26922908,21.0,37.0,17.0,55.0,0.5676,0.3091,0.0,0.0,,,104.002,101.064,2.27728,104.186,-2.39815,-2.98719,0.58904,-3.79565,26.2174,-4.60259,0.806934,0.3043,2.6957,3.0,2.8696,0.8261,0.0,5.1739,Scoring PG,1.51328
4808,Malik Boothe,St. John's,BE,32,60.4,90.4,15.2,42.3,47.31,1.5,7.9,20.9,28.2,42,63,0.667,44,103,0.427,9,33,0.273,0.4,2.3,46.3,Jr,9-May,3,0.256446,87.47,3.7,2010,713,all,59.2,1.61408035,20.0,40.0,21.0,57.0,0.5,0.3684,0.0,0.0,,,101.577,95.3237,2.69663,128.132,0.532415,-0.884333,1.41675,-1.09937,25.3125,-2.94064,1.84127,0.3438,1.6875,2.0312,2.875,0.9688,0.0938,4.9062,Scoring PG,2.47891
4822,Devan Downey,South Carolina,SEC,31,85.1,102.6,34.5,45.9,51.33,1.6,9.3,23.4,16.8,156,187,0.834,168,390,0.431,69,202,0.342,0.1,4.6,31.6,Sr,9-May,2,4.95472,126.461,2.7,2010,740,all,92.8,0.99084217,70.0,127.0,98.0,263.0,0.5512,0.3726,0.0,0.0,,,98.6272,93.2887,3.92255,211.288,4.61167,4.37096,0.240704,7.95605,34.0323,5.58242,2.37362,0.5484,2.7419,3.2903,3.4839,2.7419,0.0323,22.5484,Scoring PG,10.7427
4859,Ben Uzoh,Tulsa,CUSA,34,85.9,113.6,23.6,51.5,56.22,3.3,11.7,29.6,16.6,117,151,0.775,130,251,0.518,47,138,0.341,2.0,1.6,38.8,Sr,3-Jun,1,4.36271,121.103,2.0,2010,841,all,66.4,2.0256745,68.0,107.0,62.0,144.0,0.6355,0.4306,10.0,10.0,1.0,,99.176,96.0931,3.62521,201.593,6.0716,5.07708,0.994517,6.85903,34.3529,5.55721,1.30182,0.9412,3.7647,4.7059,4.6471,0.9412,0.7353,15.2353,Scoring PG,6.94128
4881,Lucas Newton,Duquesne,A10,14,5.3,115.3,9.6,61.1,65.33,0.0,3.2,15.8,26.0,2,2,1.0,1,2,0.5,3,7,0.429,0.0,1.7,22.2,Jr,10-May,55,0.278204,101.011,4.1,2010,927,all,,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,106.166,104.93,0.363626,9.27882,-3.99647,-0.999156,-2.99731,-2.35284,4.8571,-1.88216,-0.470674,0.0,0.1429,0.1429,0.4286,0.1429,0.0,0.9286,Scoring PG,5.8503
4888,Jonathan Gibson,New Mexico St.,WAC,33,81.7,114.8,23.2,56.2,59.69,1.7,7.7,17.3,15.5,91,108,0.843,84,171,0.491,102,251,0.406,0.2,2.3,25.6,Sr,2-Jun,22,4.03878,120.102,2.6,2010,950,all,,1.34287191,34.0,70.0,46.0,95.0,0.4857,0.4842,4.0,4.0,1.0,,110.212,106.414,2.28102,175.776,3.39002,5.19501,-1.80499,3.83927,32.697,4.62091,-0.781643,0.4848,2.3939,2.8788,2.8485,1.3636,0.0606,17.1212,Scoring PG,12.8581
4896,Joe Jakubowski,Bowling Green,MAC,29,81.5,102.3,16.6,47.0,52.34,0.6,8.5,23.1,22.1,59,76,0.776,37,105,0.352,37,92,0.402,0.0,2.6,38.6,Jr,2-Jun,14,1.4515,97.3424,1.8,2010,976,all,35.4,1.94645262,33.0,72.0,4.0,33.0,0.4583,0.1212,0.0,0.0,,,105.846,105.596,2.36401,148.198,-0.573261,0.867685,-1.44095,0.107985,32.7241,0.168877,-0.0608926,0.1724,2.3103,2.4828,3.7586,1.3793,0.0,8.4138,Scoring PG,6.02968
